Mallname,City,State,mall_coords,Total_Stores
Lake Brandon Plaza (Lake Brandon Village),Brandon,FL,"27.922388,-82.322767",13.0
Lake City Mall,Lake City,FL,"30.181304,-82.673256",25.0
Lake Howell Square,Casselberry,FL,"28.639944,-81.322588",6.0
Lake Mary Centre,Lake Mary,FL,"28.753521,-81.358714",52.0
Lake Sumter Landing Market Square,The Villages,FL,"28.907571,-81.974708",37.0
Lake Walden Square,Plant City,FL,"27.9872939,-82.1224336",32.0
Lakeland Marketplace,Lakeland,FL,"27.998869,-81.925055",5.0
Lakeland Park Center,Lakeland,FL,"28.090638,-81.969329",12.0
Lakeland Square Mall,Lakeland,FL,"28.089796,-81.977891",83.0
Lakes Mall - Lauderdale Lakes,Fort Lauderdale,FL,"26.166539,-80.204455",8.0
Lakeside Town Shops,Davie,FL,"26.046756,-80.248301",25.0
Lakeside Village,Lakeland,FL,"27.999907,-81.981388",75.0
