,Rank,Name,StoreID,Total_Visits,Lat,Long,Place_ID,City,County,State,zipcode,GEOID,TRACT,StateID,CountyID,TractPopulation,TractMedianIncome
200,18,T.J. Maxx,1396,469954,31.3179396,-85.82869189,153561494,Enterprise,Coffee County,Alabama,36330,1031011206,11206,1,31,4378,61310
201,19,T.J. Maxx,1166,458653,30.37584144,-87.67847689,17015168,Foley,Baldwin County,Alabama,36535,1003011503,11503,1,3,8151,57136
202,20,T.J. Maxx,1366,456588,33.84977072,-87.26907566,216659142,Jasper,Walker County,Alabama,35501,1127020302,20302,1,127,3163,81500
203,21,T.J. Maxx,466,422139,33.4218513,-86.69223753,44835381,Hoover,Shelby County,Alabama,35242,1117030221,30221,1,117,5247,113409
204,22,T.J. Maxx,267,365909,30.67742241,-88.14683993,186142326,Mobile,Mobile County,Alabama,36608,1097003301,3301,1,97,2414,61598
205,23,T.J. Maxx,1595,347167,31.77784479,-85.9452729,290926623,Troy,Pike County,Alabama,36082,1109189002,189002,1,109,717,133958
206,24,T.J. Maxx,1471,314216,33.33548414,-86.99132475,261824727,Pleasant Hill,Jefferson County,Alabama,35022,1073014105,14105,1,73,4854,76250
207,25,T.J. Maxx,1524,296829,33.17396136,-86.28282353,76929093,Sylacauga,Talladega County,Alabama,35150,1121011900,11900,1,121,2764,74552
208,1,Marshalls,247,667805,35.90036903,-84.16504292,267060194,Farragut,Knox County,Tennessee,37934,47093005803,5803,47,93,3466,120661
209,2,Marshalls,1281,603255,36.59428253,-82.26120263,57690946,Bristol,Sullivan County,Tennessee,37621,47163042400,42400,47,163,3287,70234
210,3,Marshalls,856,561367,36.00560161,-84.02129132,255295651,Knoxville,Knox County,Tennessee,37912,47093004800,4800,47,93,5700,56399
211,4,Marshalls,1262,498539,36.06464859,-87.38214268,98008626,Dickson,Dickson County,Tennessee,37055,47043060602,60602,47,43,6850,61151
212,5,Marshalls,1476,482572,35.7947587,-83.55793115,174271141,Pigeon Forge,Sevier County,Tennessee,37863,47155081001,81001,47,155,3248,81030
213,6,Marshalls,477,429958,35.66831885,-88.86081176,81363259,Jackson,Madison County,Tennessee,38305,47113001605,1605,47,113,3297,54583
214,7,Marshalls,592,425903,35.06692717,-89.75868571,242305883,Germantown,Shelby County,Tennessee,38125,47157021341,21341,47,157,5497,163958
215,8,Marshalls,394,404148,35.03060566,-85.1603834,265867514,Chattanooga,Hamilton County,Tennessee,37421,47065011446,11446,47,65,4863,73104
216,9,Marshalls,1462,380377,36.50635176,-87.27211958,222336654,Clarksville,Montgomery County,Tennessee,37043,47125101805,101805,47,125,3581,77465
217,10,Marshalls,747,376821,35.1717264,-89.79537508,12685414,Memphis,Shelby County,Tennessee,38016,47157021126,21126,47,157,4578,75893
218,11,Marshalls,395,357338,36.18078371,-86.63873721,17115615,Nashville-Davidson,Davidson County,Tennessee,37214,47037015501,15501,47,37,3151,74583
219,12,Marshalls,1487,346149,36.058481,-89.38297864,284646156,Dyersburg,Dyer County,Tennessee,38024,47045964200,964200,47,45,5691,86003
220,13,Marshalls,491,345718,35.85514928,-86.42752802,87293056,Murfreesboro,Rutherford County,Tennessee,37128,47149040901,40901,47,149,4140,62450
221,14,Marshalls,1138,340179,35.05252409,-89.80833985,236954605,Memphis,Shelby County,Tennessee,38125,47157021354,21354,47,157,5150,79435
222,15,Marshalls,815,319111,35.15531384,-85.2457901,14114168,Chattanooga,Hamilton County,Tennessee,37343,47065010431,10431,47,65,7152,76285
223,16,Marshalls,594,294725,35.9487633,-86.8177021,47111854,Franklin,Williamson County,Tennessee,37607,47187050307,50307,47,187,3854,88966
224,17,Marshalls,150,274228,35.20774682,-89.89610965,303686263,Memphis,Shelby County,Tennessee,38128,47157020541,20541,47,157,5101,62095
225,18,Marshalls,1005,256613,36.13668573,-86.89025267,285263075,Nashville-Davidson,Davidson County,Tennessee,37205,47037018201,18201,47,37,3316,129861
226,19,Marshalls,1456,247037,36.17549394,-82.79590644,136297239,Greeneville,Greene County,Tennessee,37745,47059090300,90300,47,59,5439,57656
227,20,Marshalls,1021,241529,36.03737298,-83.8873844,108238052,Knoxville,Knox County,Tennessee,37918,47093004300,4300,47,93,2939,69100
228,21,Marshalls,1314,199711,36.32191681,-86.6014702,282347629,Hendersonville,Sumner County,Tennessee,37075,47165021205,21205,47,165,3203,111000
229,1,Marshalls,425,819819,26.6834479,-80.22362638,,,,Florida,,12099007812,7812,12,99,5318,74527
230,2,Marshalls,1077,754601,29.11130473,-81.03616413,,,,Florida,,12127083207,83207,12,127,8489,86296
231,3,Marshalls,1062,702859,27.63733172,-80.44914495,215959159,Vero Beach,Indian River County,Florida,32966,12061050704,50704,12,61,3246,113354
232,4,Marshalls,1018,650072,28.52103765,-81.58389624,88312719,Winter Garden,Orange County,Florida,34787,12095017118,17118,12,95,5555,96369
233,5,Marshalls,146,622791,25.86463408,-80.31606456,67178192,Hialeah,Miami-Dade County,Florida,33012,12086000705,705,12,86,4944,32330
234,6,Marshalls,194,599968,29.86862798,-81.32534911,41108466,Saint Augustine,Saint Johns County,Florida,32084,12109021301,21301,12,109,7990,60536
235,7,Marshalls,320,562742,25.74786693,-80.38838071,,,,Florida,,12086014601,14601,12,86,3296,23553
236,8,Marshalls,1278,559928,28.34226274,-81.41032988,,,,Florida,,12097042201,42201,12,97,7478,40858
237,9,Marshalls,329,559641,27.99839165,-81.96058114,82999730,Lakeland,Polk County,Florida,33803,12105010702,10702,12,105,4437,56924
238,10,Marshalls,465,555623,28.20242974,-82.66406799,,,,Florida,,12101031508,31508,12,101,5580,91923
239,11,Marshalls,285,552525,28.02853219,-82.50300763,17663512,Tampa,Hillsborough County,Florida,33614,12057011908,11908,12,57,2295,-666666666
240,12,Marshalls,486,548214,26.14945018,-80.32563391,116833776,Sunrise,Broward County,Florida,33323,12011060120,60120,12,11,6817,106345
241,13,Marshalls,408,541376,30.27075293,-81.39014639,75818181,Jacksonville Beach,Duval County,Florida,32250,12031014203,14203,12,31,4766,134934
242,14,Marshalls,1328,527287,29.62730729,-82.38218874,55354417,Gainesville,Alachua County,Florida,32608,12001001522,1522,12,1,6674,38063
243,15,Marshalls,1010,502202,28.53635626,-82.50622751,,,,Florida,,12053040801,40801,12,53,3966,51764
244,16,Marshalls,372,483807,25.6861927,-80.42254009,175658528,Kendall Lakes,Miami-Dade County,Florida,32186,12086017402,17402,12,86,5053,61207
245,17,Marshalls,284,482310,27.94261139,-82.32225189,175750329,Brandon,Hillsborough County,Florida,33510,12057012212,12212,12,57,3426,46515
246,18,Marshalls,651,481957,25.93155015,-80.12302813,,,,Florida,,12086000140,140,12,86,3696,65732
247,19,Marshalls,1332,473033,28.60393079,-81.36809838,,,,Florida,,12095019000,19000,12,95,3814,82614
248,20,Marshalls,1293,466065,28.93027812,-82.01828307,80363837,The Villages,Sumter County,Florida,32162,12119911703,911703,12,119,4380,66216
249,21,Marshalls,1269,458671,26.96015233,-80.08295057,,,,Florida,,12099000102,102,12,99,2956,94083
250,22,Marshalls,1113,454293,30.22129622,-85.8701446,64624823,Panama City Beach,Bay County,Florida,32413,12005002703,2703,12,5,2413,65278
251,23,Marshalls,1202,453903,27.79620131,-82.33245096,,,,Florida,,12057013915,13915,12,57,9275,97060
252,24,Marshalls,264,436709,27.39169372,-82.45327833,,,,Florida,,12081000810,810,12,81,5389,101300
253,25,Marshalls,464,435297,28.17546464,-82.35555788,281852573,Wesley Chapel,Pasco County,Florida,33645,12101032109,32109,12,101,5301,96667
254,26,Marshalls,1019,429195,27.49891405,-81.485903,,,,Florida,,12055960700,960700,12,55,3766,58333
255,27,Marshalls,805,427271,30.44015803,-84.25826912,40763382,Tallahassee,Leon County,Florida,32301,12073000903,903,12,73,2190,52443
256,28,Marshalls,392,424338,25.80987875,-80.19355365,182156753,Miami,Miami-Dade County,Florida,33127,12086002600,2600,12,86,7195,49258
257,29,Marshalls,1003,423864,26.48581527,-81.78940397,145398721,Timberwalk at Three Oaks,Lee County,Florida,33913,12071040138,40138,12,71,3927,109375
258,30,Marshalls,1042,417388,28.05040396,-82.69797409,290448831,Oldsmar,Pinellas County,Florida,34677,12103027326,27326,12,103,3895,72950
259,31,Marshalls,167,415341,26.21278703,-80.10717035,316292801,Pompano Beach,Broward County,Florida,33062,12011030902,30902,12,11,3498,89741
260,32,Marshalls,816,414816,25.48042614,-80.46169303,65263727,Homestead,Miami-Dade County,Florida,33030,12086011011,11011,12,86,4021,55530
261,33,Marshalls,509,406771,30.38944671,-86.43912186,,,,Florida,,12091023304,23304,12,91,4284,116033
262,34,Marshalls,176,406080,26.17261584,-81.80103344,86240171,Naples,Collier County,Florida,34103,12021000302,302,12,21,1635,127750
263,35,Marshalls,350,403317,27.23554687,-80.26661916,47628474,Stuart,Martin County,Florida,34994,12085000400,400,12,85,7706,98077
264,36,Marshalls,325,396312,26.31571519,-80.15697515,188727054,Deerfield Beach,Broward County,Florida,33442,12011010402,10402,12,11,3470,55679
265,37,Marshalls,653,395690,26.84377179,-80.0737879,,,,Florida,,12099000803,803,12,99,3263,110560
266,38,Marshalls,1471,394080,29.13878799,-82.19278881,343417642,Ocala,Marion County,Florida,34474,12083002505,2505,12,83,6019,70783
267,39,Marshalls,168,393505,26.58642025,-81.86958965,282105692,Fort Myers,Lee County,Florida,33907,12071001300,1300,12,71,3277,48823
268,40,Marshalls,511,392484,28.49535372,-81.43035435,67604186,Orlando,Orange County,Florida,32839,12095014504,14504,12,95,4978,59957
269,41,Marshalls,745,376088,27.01499547,-82.14422047,,,,Florida,,12015020301,20301,12,15,6071,61667
270,42,Marshalls,232,375449,28.03888338,-80.66485967,49745493,West Melbourne,Brevard County,Florida,32907,12009071335,71335,12,9,4664,71528
271,43,Marshalls,796,374136,26.27086874,-81.79847013,,,,Florida,,12021010205,10205,12,21,2639,135278
272,44,Marshalls,473,367379,26.36594881,-80.1735641,120717778,Boca Raton,Palm Beach County,Florida,33434,12099007741,7741,12,99,4371,51961
273,45,Marshalls,541,363170,26.04343239,-80.15896058,182497568,Hollywood,Broward County,Florida,33020,12011080500,80500,12,11,7927,44271
274,46,Marshalls,340,360793,26.52946565,-80.09281893,287802675,Boynton Beach,Palm Beach County,Florida,33436,12099006012,6012,12,99,5179,60997
275,47,Marshalls,1132,360382,30.48249025,-81.6407356,225092773,Jacksonville,Duval County,Florida,32218,12031010301,10301,12,31,6359,67500
276,48,Marshalls,1169,358726,26.28817959,-80.24929148,49551477,Coral Springs,Broward County,Florida,33065,12011010604,10604,12,11,4312,105625
277,49,Marshalls,1059,358512,28.67530247,-81.4710751,,,,Florida,,12095017807,17807,12,95,4113,60640
278,50,Marshalls,1428,356655,28.39222915,-81.48445473,,,,Florida,,12095017022,17022,12,95,7813,47054
279,51,Marshalls,1463,356560,28.22398965,-81.64276718,,,,Florida,,12105012509,12509,12,105,2152,86458
280,52,Marshalls,108,350911,27.26052384,-82.51795607,,,,Florida,,12115002003,2003,12,115,5376,75745
281,53,Marshalls,813,341760,30.17570908,-81.62667292,67029920,Jacksonville,Duval County,Florida,32223,12031016808,16808,12,31,4055,78333
282,54,Marshalls,1198,339297,28.47550606,-81.28715209,80711415,Orlando,Orange County,Florida,32822,12095013507,13507,12,95,7046,42923
283,55,Marshalls,145,335509,25.62066372,-80.34234868,,,,Florida,,12086008208,8208,12,86,4679,76497
284,56,Marshalls,1020,335028,28.55145091,-80.84290999,341222565,Titusville,Brevard County,Florida,32780,12009061202,61202,12,9,3313,98113
285,57,Marshalls,196,332075,26.44065508,-80.07277198,78913323,Delray Beach,Palm Beach County,Florida,33483,12099006502,6502,12,99,4216,81667
286,58,Marshalls,388,331600,27.90785906,-82.50472481,89133164,Tampa,Hillsborough County,Florida,33608,12057006700,6700,12,57,6114,206582
287,59,Marshalls,1258,330807,27.98832505,-82.1249478,,,,Florida,,12057013003,13003,12,57,3474,57877
288,60,Marshalls,207,323604,25.98142858,-80.35797757,16046612,Miramar,Broward County,Florida,33027,12011110360,110360,12,11,5977,143183
289,61,Marshalls,153,320817,28.79847527,-81.3341345,,,,Florida,,12117020601,20601,12,117,8788,63246
290,62,Marshalls,867,315075,27.96626249,-82.72824974,16152437,Clearwater,Pinellas County,Florida,33765,12103026819,26819,12,103,2700,60625
291,63,Marshalls,399,309341,26.01274602,-80.25153526,55531643,Pembroke Pines,Broward County,Florida,33024,12011110312,110312,12,11,7192,56528
292,64,Marshalls,1181,305582,27.46365197,-82.63403533,,,,Florida,,12081000409,409,12,81,2827,77656
293,65,Marshalls,398,302981,26.6160286,-80.14417633,,,,Florida,,12099004819,4819,12,99,4512,42516
294,66,Marshalls,67,287427,28.66364034,-81.38252103,,,,Florida,,12117021901,21901,12,117,5180,76831
295,67,Marshalls,1364,285714,28.26592456,-81.3308053,,,,Florida,,12097042904,42904,12,97,6715,57264
296,68,Marshalls,1197,283748,25.8314203,-80.25975734,188175046,Hialeah,Miami-Dade County,Florida,33010,12086000805,805,12,86,5944,48375
297,69,Marshalls,252,279016,27.83623061,-82.68780706,16053439,Pinellas Park,Pinellas County,Florida,33781,12103024908,24908,12,103,3366,83232
298,70,Marshalls,1192,277451,30.48203772,-87.20826445,150946065,Pensacola,Escambia County,Florida,32504,12033001201,1201,12,33,4899,73670
299,71,Marshalls,1135,268583,30.31105405,-81.73429752,74145471,Jacksonville,Duval County,Florida,32205,12031012100,12100,12,31,1858,28378
300,72,Marshalls,1256,268041,28.19081911,-82.45722617,,,,Florida,,12101032013,32013,12,101,6150,90347
301,73,Marshalls,866,266804,26.23680797,-80.20107708,,,,Florida,,12011020103,20103,12,11,5146,47447
302,74,Marshalls,228,264460,29.26168687,-81.02659535,87559206,Daytona Beach,Volusia County,Florida,32118,12127081101,81101,12,127,2622,52083
303,75,Marshalls,1315,242889,26.06015291,-81.69784683,,,,Florida,,12021011103,11103,12,21,2384,45393
304,76,Marshalls,124,242170,28.33256231,-81.47381297,,,,Florida,,12097040904,40904,12,97,5166,56902
305,77,Marshalls,678,236513,28.54893327,-81.34961019,87962624,Orlando,Orange County,Florida,32803,12095018400,18400,12,95,2723,61250
306,78,Marshalls,419,235265,28.55435066,-81.47929418,,,,Florida,,12095014904,14904,12,95,7221,36269
307,79,Marshalls,1386,233046,25.93840204,-80.2473497,,,,Florida,,12086009401,9401,12,86,2267,64872
308,80,Marshalls,1163,223103,26.18834769,-80.20689326,,,,Florida,,12011050309,50309,12,11,2669,30327
309,81,Marshalls,,211309,30.14840093,-81.75340135,,,,Florida,,12019030802,30802,12,19,6709,80667
310,82,Marshalls,211,201749,27.78893025,-82.73017403,74072584,Saint Petersburg,Pinellas County,Florida,33764,12103022501,22501,12,103,5705,60203
311,83,Marshalls,1455,188704,26.11916123,-80.17708116,93177726,Fort Lauderdale,Broward County,Florida,33312,12011042802,42802,12,11,2275,34765
312,84,Marshalls,356,175715,25.77398514,-80.32171357,,,,Florida,,12086009014,9014,12,86,4248,73878
313,85,Marshalls,1495,150855,28.65364973,-81.20987675,40052570,Oviedo,Seminole County,Florida,32765,12117021314,21314,12,117,4131,87819
314,86,Marshalls,1396,127309,27.07493951,-82.42337358,,,,Florida,,12115002505,2505,12,115,2290,67898
315,87,Marshalls,333,114594,27.89163011,-82.78264183,17643277,Largo,Pinellas County,Florida,33773,12103025311,25311,12,103,3621,61809
316,1,Marshalls,422,579489,34.67480735,-86.5457253,5867702,Huntsville,Madison County,Alabama,35802,1089001902,1902,1,89,1776,178500
317,2,Marshalls,1446,560818,30.37788523,-87.68632428,101466848,Foley,Baldwin County,Alabama,36535,1003011503,11503,1,3,8151,57136
318,3,Marshalls,1355,459410,32.3596849,-86.15858661,101894583,Montgomery,Montgomery County,Alabama,36117,1101005412,5412,1,101,5051,112335
319,4,Marshalls,316,418587,30.67761061,-88.12260762,190708376,Mobile,Mobile County,Alabama,36606,1097002800,2800,1,97,4116,48339
320,5,Marshalls,1227,395458,33.36105771,-86.85386633,80206973,Hoover,Jefferson County,Alabama,35244,1073014414,14414,1,73,5671,138822
321,6,Marshalls,767,330430,33.63910488,-86.62771501,153228662,Trussville,Jefferson County,Alabama,35235,1073011113,11113,1,73,3513,66060
322,7,Marshalls,809,266024,34.75430438,-86.74775761,53329239,Madison,Madison County,Alabama,35758,1089010612,10612,1,89,6071,92520
