Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_stores_Aldi,num_stores_Kroger,num_stores_Piggly_Wiggly,num_stores_Publix,num_stores_Sprouts_Farmers_Market,num_stores_The_Fresh_Market,num_stores_Trader_Joe's,num_stores_Walmart_Neighborhood_Market,num_stores_Whole_Foods_Market,num_stores_Winn-Dixie,total_visit_Aldi,total_visit_Kroger,total_visit_Piggly_Wiggly,total_visit_Publix,total_visit_Sprouts_Farmers_Market,total_visit_The_Fresh_Market,total_visit_Trader_Joe's,total_visit_Walmart_Neighborhood_Market,total_visit_Whole_Foods_Market,total_visit_Winn-Dixie,num_grocery_stores,total_grocery_visit,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls,num_starbucks,has_starbucks,num_malls,tot_stores,2022 Total Population,2022 Population Density,2022 Median Household Income,2022 Median Net Worth,2022 Median Disposable Income,2022 Median Age,2022 Total Housing Units,2022 Median Home Value,2022 Owner Occupied HUs,2022 Renter Occupied HUs,2020 Median Year Structure Built: HUs (ACS 5-Yr),2022 Pop Age 25+: Bachelor's Degree,2022 Pop Age 25+: Grad/Professional Degree,2022 Apparel/Accessory Sales ($000) (SIC),2022 Furniture/Home Furnish Sales ($000) (SIC),2022 Home Improvement Sales ($000) (SIC),2022 Men`s Apparel,2022 Women`s Apparel,2022 Bought Clothing in Dept Store/6 Mo,2022 Bought Clothing in Discount Store/6 Mo,2022 Bought Clothing Online/6 Mo,2022 HH Purchased Low Ticket HH Furnishing/12 Mo,2022 Tapestry Adult Pop Base_x,2022 Discount Store Clothes Just as Good: 4-Agr Cmpl,2022 Total Daytime Population,2022 Daytime Pop Density,2022 Pop Age 15+: Married,2022 Pop Age 15+: Divorced,2022 Pop Age 15+: Never Married,2022 Black Population,2022 White Population,2022 Hispanic Population,2022 Total Crime Index,2022 Personal Crime Index,2022 Property Crime Index,2022 Tapestry Adult Pop Base_y,2022 Pop 18+ in Tapestry Seg 1A,2022 Pop 18+ in Tapestry Seg 1B,2022 Pop 18+ in Tapestry Seg 1C,2022 Pop 18+ in Tapestry Seg 1D,2022 Pop 18+ in Tapestry Seg 1E,2022 Pop 18+ in Tapestry Seg 2A,2022 Pop 18+ in Tapestry Seg 2B,2022 Pop 18+ in Tapestry Seg 2C,2022 Pop 18+ in Tapestry Seg 2D,2022 Pop 18+ in Tapestry Seg 3A,2022 Pop 18+ in Tapestry Seg 3B,2022 Pop 18+ in Tapestry Seg 3C,2022 Pop 18+ in Tapestry Seg 4A,2022 Pop 18+ in Tapestry Seg 4B,2022 Pop 18+ in Tapestry Seg 4C,2022 Pop 18+ in Tapestry Seg 5A,2022 Pop 18+ in Tapestry Seg 5B,2022 Pop 18+ in Tapestry Seg 5C,2022 Pop 18+ in Tapestry Seg 5D,2022 Pop 18+ in Tapestry Seg 5E,2022 Pop 18+ in Tapestry Seg 6A,2022 Pop 18+ in Tapestry Seg 6B,2022 Pop 18+ in Tapestry Seg 6C,2022 Pop 18+ in Tapestry Seg 6D,2022 Pop 18+ in Tapestry Seg 6E,2022 Pop 18+ in Tapestry Seg 6F,2022 Pop 18+ in Tapestry Seg 7A,2022 Pop 18+ in Tapestry Seg 7B,2022 Pop 18+ in Tapestry Seg 7C,2022 Pop 18+ in Tapestry Seg 7D,2022 Pop 18+ in Tapestry Seg 7E,2022 Pop 18+ in Tapestry Seg 7F,2022 Pop 18+ in Tapestry Seg 8A,2022 Pop 18+ in Tapestry Seg 8B,2022 Pop 18+ in Tapestry Seg 8C,2022 Pop 18+ in Tapestry Seg 8D,2022 Pop 18+ in Tapestry Seg 8E,2022 Pop 18+ in Tapestry Seg 8F,2022 Pop 18+ in Tapestry Seg 8G,2022 Pop 18+ in Tapestry Seg 9A,2022 Pop 18+ in Tapestry Seg 9B,2022 Pop 18+ in Tapestry Seg 9C,2022 Pop 18+ in Tapestry Seg 9D,2022 Pop 18+ in Tapestry Seg 9E,2022 Pop 18+ in Tapestry Seg 9F,2022 Pop 18+ in Tapestry Seg 10A,2022 Pop 18+ in Tapestry Seg 10B,2022 Pop 18+ in Tapestry Seg 10C,2022 Pop 18+ in Tapestry Seg 10D,2022 Pop 18+ in Tapestry Seg 10E,2022 Pop 18+ in Tapestry Seg 11A,2022 Pop 18+ in Tapestry Seg 11B,2022 Pop 18+ in Tapestry Seg 11C,2022 Pop 18+ in Tapestry Seg 11D,2022 Pop 18+ in Tapestry Seg 11E,2022 Pop 18+ in Tapestry Seg 12A,2022 Pop 18+ in Tapestry Seg 12B,2022 Pop 18+ in Tapestry Seg 12C,2022 Pop 18+ in Tapestry Seg 12D,2022 Pop 18+ in Tapestry Seg 13A,2022 Pop 18+ in Tapestry Seg 13B,2022 Pop 18+ in Tapestry Seg 13C,2022 Pop 18+ in Tapestry Seg 13D,2022 Pop 18+ in Tapestry Seg 13E,2022 Pop 18+ in Tapestry Seg 14A,2022 Pop 18+ in Tapestry Seg 14B,2022 Pop 18+ in Tapestry Seg 14C,2022 Pop 18+ in Tapestry Seg 15
4,T.J. Maxx,AL,32.61772288,-85.40596121,672003,"32.61772288,-85.40596121",1,1,1,1,0,0,0,1,0,0,234191,1478122,173806,803157,0,0,0,575146,0,0,5,3264422,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,1,1,1,2,0,0,0,,261396,830233,325275,983233,3951912,,,,2,1,3,98.0,37093,939.8,59447,107920,50493,36.5,16240,225000,10059,4844,1991,5514,4720,25910,74005,220759,6214130,11259414,10439,4272,8912,3386,28101,9061,47737,1209.5,14874,3556,9327,11901,19906,2874,188,173,191,28101,0,4099,0,595,0,0,0,0,0,0,0,0,5,0,4035,205,2341,0,0,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,1619,0,0,0,1826,490,0,0,0,0,0,0,992,0,0,2476,0,0,1192,1402,0,2105,0,0,836,1777,0,0,0,0,0,0,195,217,0
5,T.J. Maxx,AL,34.01266801,-85.98970988,595703,"34.01266801,-85.98970988",1,0,0,0,0,0,0,0,0,0,275791,0,0,0,0,0,0,0,0,0,1,275791,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,1,0,2,0,0,0,,,1097125,257489,,4379383,,,,0,0,1,25.0,29357,986.5,29888,19013,25702,41.4,14596,97268,6826,5368,1959,2076,1289,26877,25401,79358,2560675,4920670,8093,3374,6019,2601,23239,8079,39405,1324.1,8563,4134,9304,11265,14183,2496,315,290,319,23239,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,874,0,0,0,2349,0,11,0,0,0,2379,0,0,0,0,0,0,0,0,0,0,0,945,1643,0,0,0,0,0,922,25,311,0,255,1653,0,0,0,0,747,0,1337,5637,3260,0,0,0,0,0,0,0,0,0
6,T.J. Maxx,AL,33.18497378,-87.52800996,585935,"33.18497378,-87.52800996",1,0,2,1,0,1,0,1,0,1,461164,0,215765,796937,0,332089,0,811224,0,394169,7,3011348,0,2,37,29,,1117.2943599493028,1070.4161308608711,789.74354209512,,1455.0,1217.0689655172414,721.5454545454545,18.0,12.0,0.0,3.0,1.0,0.0,0.0,0,0,2,1,1,2,1,0,0,,,1590794,383410,936829,4689729,393842,,,0,0,4,47.0,100341,1956.4,40693,16229,34567,28.5,48890,188480,17119,24688,1984,11500,8866,98009,135202,224894,13704571,24069850,28925,12801,25841,9084,84096,27395,135182,2635.7,24769,8248,50270,42671,46524,6590,184,145,191,84096,1110,0,0,0,882,0,0,0,0,0,0,0,581,0,917,1878,1893,0,2275,922,0,0,0,0,0,1078,0,0,0,0,0,0,0,0,2401,0,2045,8941,0,0,2978,0,0,0,1823,375,0,0,709,543,0,2085,3784,1306,2682,578,0,1074,9756,0,0,0,0,0,0,11924,19555,0
7,T.J. Maxx,AL,34.27934442,-86.20673902,550241,"34.27934442,-86.20673902",0,0,1,0,0,0,0,0,0,0,0,0,137224,0,0,0,0,0,0,0,1,137224,0,0,0,5,,,,939.4483597883598,,,,535.3333333333334,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,2,0,0,0,,,926720,280078,,4336595,,,,0,0,1,8.0,31063,500.8,50440,73829,40817,35.6,11710,135388,6905,4032,1980,2572,1024,28587,17482,88809,3077929,5781803,8008,3587,5735,2432,22559,8027,35735,576.1,12946,2724,6267,1276,19796,9858,125,53,137,22559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445,0,1438,0,0,4,4901,0,0,0,4396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3805,0,0,3115,406,0,0,0,0,0,0,0,3049,0,0,0,0,0,0,0,0,0,0
8,T.J. Maxx,AL,32.45711144,-86.3968484,548695,"32.45711144,-86.3968484",1,0,0,1,0,0,0,0,0,0,240610,0,0,1039268,0,0,0,0,0,0,2,1279878,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,1,2,1,3,0,0,0,,273578,791576,579200,643596,6459207,,,,1,1,4,104.0,26171,1031.7,68354,110713,55836,38.1,11062,184457,6495,3933,1996,3945,2591,5772,16866,55124,3848810,7076309,7869,3236,6648,2359,20228,6319,24583,969.1,11284,2277,6639,5589,17501,1222,182,86,198,20228,0,0,0,0,0,0,0,0,0,0,0,0,2565,0,2865,2475,0,0,0,1101,2893,0,0,0,0,877,5004,0,0,0,0,0,0,0,1352,0,0,0,0,0,0,0,0,0,0,613,0,0,400,17,0,0,0,0,7,0,0,58,0,0,0,0,0,0,0,0,0,0
9,T.J. Maxx,AL,33.60483555,-86.63828671,531727,"33.60483555,-86.63828671",1,0,0,0,0,0,0,0,0,1,292778,0,0,0,0,0,0,0,0,469357,2,762135,0,1,4,8,,1091.3297872340424,966.438633797204,912.5671527915836,,1331.0,985.6666666666666,706.7142857142857,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,1,3,3,2,4,1,0,1,152953,271885,2198553,900513,1478677,7734283,266300,,330430,1,1,4,96.0,36006,1015.3,63138,153060,52886,41.0,15037,201524,9714,4192,1976,5409,2993,24394,132766,127227,5211136,9675801,10445,4292,8988,3013,28156,8526,43190,1217.9,14532,4264,8796,15105,17418,2270,188,231,181,28156,0,0,0,2087,1424,0,0,0,0,0,0,0,2928,814,845,2027,593,2299,802,2113,1891,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,1746,0,668,615,0,0,0,0,0,892,0,0,51,0,0,1460,468,0,0,3353,275,0,476,0,0,0,0,0,0,0,0,0
10,T.J. Maxx,AL,33.60837815,-85.78320548,531480,"33.60837815,-85.78320548",1,0,0,1,0,0,0,0,0,1,247985,0,0,1011559,0,0,0,0,0,502347,3,1761891,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,2,1,1,2,0,0,0,,259798,1346433,341897,557123,4430057,,,,1,1,1,42.0,26946,567.8,63056,144828,52463,42.8,12413,178717,7656,3475,1980,3015,2524,25858,46064,139958,4073239,7654552,8036,3412,6560,2532,21497,6603,35034,738.3,12124,2761,5939,6146,17520,1800,188,140,196,21497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3156,3726,0,0,698,816,2995,1198,0,0,0,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,0,913,35,0,277,43,0,0,0,2654,269,0,264,1380,36,0,0,0,0,0,0,0,0,0
11,T.J. Maxx,AL,33.22367944,-86.80391794,524758,"33.22367944,-86.80391794",1,0,0,1,0,0,0,1,0,0,255259,0,0,889756,0,0,0,723874,0,0,3,1868889,0,0,2,1,,,1013.9625641025641,827.4444444444445,,,1112.5,1086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,1,1,4,0,0,1,,306940,1467211,351071,723224,7007008,,,395458,2,1,2,53.0,15294,638.9,70538,177373,56875,37.3,6047,209244,4510,1168,1994,2266,1277,8924,58212,83241,2258027,4130887,4637,1915,3859,1225,11687,3798,21158,883.9,6896,1172,3422,2655,9202,2773,129,102,133,11687,0,194,594,0,0,0,0,0,0,0,0,0,3468,500,2756,0,0,0,0,0,2,0,0,0,0,0,203,0,0,0,0,0,0,0,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0
12,T.J. Maxx,AL,34.15084311,-86.83897821,522109,"34.15084311,-86.83897821",1,0,0,1,0,0,0,0,0,0,196315,0,0,766198,0,0,0,0,0,0,2,962513,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,1,0,2,0,0,0,,,1016884,300495,,4530854,,,,1,1,0,0.0,24306,421.2,52760,101452,43624,41.3,10460,155951,6189,3506,1977,2371,1251,9881,47325,90811,2828708,5422421,6832,2844,5063,2088,19219,6461,32276,559.3,10139,3085,5143,294,21100,1674,165,131,170,19219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,736,0,0,1420,2278,0,239,0,0,0,2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,3657,822,0,0,0,0,0,0,0,0,0,0,4844,0,0,0,0,0,0,0,0,0,0
13,T.J. Maxx,AL,34.68981044,-86.57808509,520098,"34.68981044,-86.57808509",1,1,0,2,0,1,0,0,1,0,142973,624766,0,1391381,0,347958,0,0,697483,0,6,3204561,0,4,8,33,,942.3020539078982,990.5472496612177,796.1730559378955,,1546.25,1073.5714285714287,723.7894736842105,0.0,15.0,0.0,5.0,2.0,0.0,0.0,0,1,3,1,2,6,1,0,1,,245017,1893875,397660,1355459,9152965,200023,,579489,1,1,2,49.0,91121,2147.2,50015,70349,41657,41.6,44336,209623,20856,19383,1970,16654,10481,97030,158227,170099,15217705,27391239,26720,11174,23299,8539,73389,21780,114058,2687.7,34989,10411,25327,22232,54207,9655,201,227,196,73389,0,0,0,0,12419,0,0,0,0,0,0,0,0,256,392,6401,5317,0,804,4677,0,0,0,0,0,0,0,0,0,724,0,0,0,1550,483,0,1164,3691,752,0,4068,0,0,2832,1861,0,0,0,0,4,0,2254,3098,7691,2619,3277,1382,2227,734,0,0,1397,0,40,111,1165,0,0
14,T.J. Maxx,AL,32.34508806,-86.22138895,510554,"32.34508806,-86.22138895",1,0,0,3,0,1,0,1,1,1,301500,0,0,3279361,0,393555,0,1046744,462819,603234,8,6087213,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,1,2,2,4,0,0,1,257538,305495,648951,659217,1304714,7071191,,,459410,0,0,7,90.0,88433,2210.4,55502,69002,46804,35.7,42580,162486,19274,19127,1981,13908,9341,93299,153634,203862,14316276,25597675,24975,10673,21304,8069,68701,21328,97389,2434.2,28890,9122,30117,54391,24901,4295,184,126,194,68701,1753,0,2439,1039,984,1698,0,0,0,0,0,0,0,3330,7,5564,3330,0,3112,2360,0,0,0,0,0,1458,0,0,0,1447,0,0,0,153,7173,0,0,1602,2204,0,830,0,0,763,1000,0,0,0,823,0,0,8815,3796,2332,2376,3076,3023,0,2215,0,0,0,0,0,0,0,0,0
15,T.J. Maxx,AL,33.64939863,-86.823636,489876,"33.64939863,-86.823636",0,0,0,1,0,0,0,0,0,0,0,0,0,1052756,0,0,0,0,0,0,1,1052756,0,0,2,0,,,1039.8423076923077,,,,1159.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,3,0,0,0,152953,,1005913,389914,628537,6195297,,,,1,1,0,0.0,25540,899.8,66800,163176,55704,40.5,11241,197899,7638,2778,1980,3272,1655,8059,14756,28891,3981276,7456488,7576,3099,6338,2295,19958,6234,22758,801.8,11674,2591,5049,6017,16500,1803,152,156,151,19958,0,0,0,0,0,0,0,0,0,0,0,0,3503,0,2542,2933,0,0,0,4630,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,1258,0,0,0,0,0,0,0,2058,0,0,0,91,0,0,0,0,0,40,0,0,801,0,0,0,0,0,0,0,0,0
16,T.J. Maxx,AL,34.75703117,-86.73690152,485713,"34.75703117,-86.73690152",1,1,0,2,1,0,0,1,0,0,157785,1178949,0,988018,217720,0,0,505329,0,0,6,3047801,0,9,9,0,,1052.840392996146,1068.1035927832672,,,1405.5,1142.8333333333333,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,1,2,2,2,5,1,0,1,,398543,1628317,687039,1501768,7736572,200023,,266024,1,1,1,27.0,86052,1565.2,101352,234741,80478,37.7,36770,259456,23336,10959,1999,21009,14613,73401,115065,106862,18933003,33954148,26469,10498,24358,7797,66693,19690,81190,1476.8,40718,6360,20572,17751,54702,4826,129,109,132,66693,0,16201,3482,5863,0,0,0,0,0,0,4225,0,12711,0,15099,0,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1779,0,0,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,T.J. Maxx,AL,30.65283447,-87.90662753,471157,"30.65283447,-87.90662753",0,0,0,1,0,1,0,0,0,0,0,0,0,485905,0,259947,0,0,0,0,2,745852,0,1,5,3,,959.8333333333334,1041.913556244618,775.4286461091423,,1419.0,1244.75,945.6666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,2,0,0,0,,181518,931114,267816,568886,2977647,,,,1,1,2,54.0,20890,914.7,81209,224690,62290,43.7,9140,236009,6494,1934,1989,4155,2355,19613,40393,110747,3812230,6999272,6447,2669,5582,1826,16903,4969,22175,971.0,9207,2230,5000,1742,17021,959,85,52,91,16903,0,0,0,744,542,0,0,0,0,0,0,0,3218,1935,1775,2332,0,0,0,1009,736,0,0,0,0,0,0,0,0,0,0,0,0,0,1813,0,0,1744,0,0,0,0,0,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,T.J. Maxx,AL,31.3179396,-85.82869189,469954,"31.3179396,-85.82869189",0,0,2,1,0,0,0,0,0,0,0,0,123489,1226383,0,0,0,0,0,0,3,1349872,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,1,0,0,0,,,945713,,,2509890,,,,0,0,2,57.0,31019,735.7,61245,78901,51676,36.3,13817,181066,6909,5398,1984,4083,2030,7276,18903,46159,4263012,7904485,8959,3598,7006,2715,23716,7760,28566,677.6,13201,3439,6717,6488,18611,4258,119,103,121,23716,0,0,0,0,0,0,0,0,0,0,0,0,1651,0,2610,2042,0,0,0,2780,493,0,144,0,0,1713,0,0,0,0,0,0,0,0,6035,0,0,0,0,0,0,0,0,0,0,553,0,0,797,0,0,0,7,0,922,0,0,3969,0,0,0,0,0,0,0,0,0,0
19,T.J. Maxx,AL,30.37584144,-87.67847689,458653,"30.37584144,-87.67847689",0,0,1,1,0,0,0,0,0,1,0,0,219442,702358,0,0,0,0,0,388562,3,1310362,0,1,4,5,,1261.8166666666666,1048.09375,839.9731199186991,,1324.0,1061.5,1006.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0,0,1,1,1,2,0,0,1,,,756522,312637,566624,4628218,,,560818,1,1,0,0.0,22655,681.7,44749,100129,38029,41.5,10610,226356,6474,2850,1997,2834,1359,43850,31920,122990,2765510,5093902,6540,2815,5448,2052,17883,5797,25262,760.2,8913,2819,4795,2181,16654,2873,168,99,179,17883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3384,0,160,0,0,4965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,5438,0,0,0,0,0,0,0,1075,300,0,2257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,T.J. Maxx,AL,33.84977072,-87.26907566,456588,"33.84977072,-87.26907566",1,0,0,0,0,0,0,0,0,1,239508,0,0,0,0,0,0,0,0,408060,2,647568,0,0,2,2,,,1095.532608695652,862.875,,,659.0,638.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,,,,,939987,2507436,,,,0,0,1,31.0,19797,349.5,54940,125559,46152,43.9,8634,182474,5529,2216,1980,1708,947,9444,19291,88702,2472707,4756327,5754,2561,4448,1642,15963,5136,26352,465.2,8813,1965,4115,1918,15866,1397,227,182,235,15963,0,0,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,1499,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238,0,0,0,0,0,677,0,2275,294,934,0,2111,0,0,0,0,0,0,0,2625,0,0,0,0,0,0,0,0,0,0
21,T.J. Maxx,AL,33.4218513,-86.69223753,422139,"33.4218513,-86.69223753",1,0,0,3,1,1,1,0,0,1,169309,0,0,1699745,191376,188122,1144672,0,0,323736,8,3716960,0,25,2,0,,1065.0405193508807,1013.2689324351909,,,1363.56,1067.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3,2,3,6,2,1,0,349583,304749,2011546,578749,2263822,11009789,800150,676723,,1,1,5,176.0,43806,1453.8,90646,193887,72651,39.5,20305,376868,11873,7340,1994,12972,8013,83400,139362,113946,11427203,20144029,13473,5257,13791,4493,35566,9744,56198,1865.1,21752,3076,10635,4871,33336,2044,162,119,170,35566,2700,5447,0,4733,1848,333,0,0,5045,0,4559,0,1368,0,0,0,5345,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1238,800,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,T.J. Maxx,AL,30.67742241,-88.14683993,365909,"30.67742241,-88.14683993",0,0,0,1,0,1,0,4,1,1,0,0,0,1155486,0,670136,0,2630621,397870,358646,8,5212759,0,0,23,37,,,1068.377175979489,780.49730635067,,,1204.3636363636363,786.8275862068965,4.0,10.0,0.0,4.0,0.0,0.0,0.0,1,1,3,2,2,6,1,0,1,205209,456335,3027232,683429,1279676,13767155,319823,,418587,1,1,4,152.0,73756,2358.8,50235,34742,41277,35.8,35094,190260,15036,16459,1975,12039,7376,95045,154476,245108,10812795,19710930,20624,9025,18416,6675,58580,17523,99652,3187.0,23577,7780,25222,29882,36563,3050,216,201,219,58580,1223,0,0,37,1632,799,0,0,0,0,0,0,0,0,196,1607,6614,0,5052,5003,0,0,0,0,0,1346,0,0,5,0,0,0,0,898,0,0,0,15889,951,0,0,0,0,2122,730,0,0,0,0,0,0,3084,1990,296,873,725,3416,10,2007,0,0,0,0,0,0,59,2017,0
23,T.J. Maxx,AL,31.77784479,-85.9452729,347167,"31.77784479,-85.9452729",0,0,2,0,0,0,0,0,0,0,0,0,466516,0,0,0,0,0,0,0,2,466516,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,1,0,0,0,,,539050,,,2201995,,,,0,0,0,0.0,18653,310.0,40944,24440,34632,29.7,8702,177341,4084,3543,1987,1907,1568,6879,9666,48829,2377855,4265655,5416,2541,4793,1701,15618,5218,23036,382.8,5099,1379,8919,7341,9659,564,211,263,202,15618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2428,0,0,2045,0,0,0,0,0,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,12,0,419,865,0,0,0,0,1000,0,0,0,678,0,0,0,0,0,0,3769,3000,0
24,T.J. Maxx,AL,33.33548414,-86.99132475,314216,"33.33548414,-86.99132475",0,0,1,1,0,0,0,0,0,0,0,0,548328,963464,0,0,0,0,0,0,2,1511792,0,0,1,4,,,960.7352941176471,951.3938188494492,,,,876.6666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,3,0,0,1,,306940,842783,373667,,6100287,,,395458,0,0,1,33.0,19993,639.4,60736,145741,51375,41.3,8738,190198,5890,2085,1984,2649,1318,28918,4956,19223,2763894,5267628,5836,2422,4877,1788,15558,4767,22085,706.3,7605,1847,5522,10461,7590,1415,281,341,271,15558,0,7,0,0,0,0,0,0,0,0,0,0,2140,0,0,843,0,3489,0,504,2995,1157,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,783,0,685,1517,0,0,0,0,0,0,0,0,0
25,T.J. Maxx,AL,33.17396136,-86.28282353,296829,"33.17396136,-86.28282353",0,0,2,0,0,0,0,0,0,0,0,0,550161,0,0,0,0,0,0,0,2,550161,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1,1,0,0,0,,,,,586852,2060224,,,,0,0,1,17.0,18892,297.2,40653,54784,34602,42.3,9369,121573,5279,2920,1974,1568,700,5724,7454,42058,2111909,4100576,5349,2428,3744,1708,15034,5348,22144,348.4,7663,2049,4558,5786,11904,473,156,129,161,15034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,1051,0,0,0,0,0,876,2858,1758,0,0,2749,0,0,0,0,0,0,592,3118,0,0,0,0,0,0,0,0,0,0
1,Marshalls,AL,34.67480735,-86.5457253,579489,"34.67480735,-86.5457253",0,1,0,1,0,1,0,1,0,0,0,624766,0,834031,0,347958,0,520059,0,0,4,2326814,0,3,10,7,,975.0487298190343,1046.6322266431273,755.4054324971805,,1301.3333333333333,1097.3333333333333,783.8,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0,1,3,1,2,5,1,1,0,,245017,1893875,397660,1355459,7792728,200023,520098,,1,1,3,56.0,57959,1902.6,74206,185315,59094,45.6,28131,238598,16014,9856,1976,13677,9289,87416,91935,117130,12045479,21800219,17367,7292,15713,5518,47035,12911,71986,2363.1,26586,6044,12781,6708,42775,4761,171,189,168,47035,0,152,0,2179,12605,0,0,0,0,0,0,0,0,902,0,7451,4286,0,0,3320,15,0,0,0,0,0,0,0,0,724,0,0,0,701,723,0,1033,1598,8,0,2647,0,0,2617,0,0,0,0,0,0,0,2254,0,1081,693,0,646,0,2,0,0,1397,0,0,0,0,0,0
2,Marshalls,AL,30.37788523,-87.68632428,560818,"30.37788523,-87.68632428",0,0,1,1,0,0,0,0,0,1,0,0,219442,702358,0,0,0,0,0,388562,3,1310362,0,1,4,5,,1261.8166666666666,1048.09375,839.9731199186991,,1324.0,1061.5,1006.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0,0,1,1,1,2,0,1,0,,,756522,312637,566624,4628218,,458653,,1,1,0,0.0,27129,658.0,45430,101002,38621,41.6,12989,222614,7913,3360,1997,3483,1638,44188,31972,127647,3325475,6141699,7831,3360,6538,2484,21405,6866,28327,687.1,10589,3395,5861,2485,20242,3251,170,100,182,21405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3338,0,675,0,0,6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,6073,0,0,0,0,0,0,0,2036,217,0,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
