,STATEFP,COUNTYFP,NAME,TRACTCE,Tract_Population
192,12,031,103.08,010308,4894
193,12,031,137.33,013733,5193
194,12,031,119.04,011904,3538
195,12,031,171.02,017102,2208
196,12,031,133.02,013302,4615
197,12,031,157.01,015701,1785
198,12,031,103.06,010306,1288
199,12,031,147.03,014703,1545
200,12,031,168.10,016810,2830
201,12,031,102.04,010204,3144
202,12,031,133.01,013301,3451
203,12,031,167.30,016730,3100
204,12,031,168.09,016809,5008
205,12,031,105.02,010502,3886
206,12,031,105.01,010501,3973
207,12,031,1.01,000101,2653
208,12,031,1.02,000102,3313
209,12,031,158.03,015803,3135
210,12,071,17.06,001706,3078
211,12,071,102.03,010203,7626
212,12,011,703.20,070320,8629
213,12,011,706.02,070602,6649
214,12,011,801.03,080103,1365
215,12,011,903.01,090301,2716
216,12,005,27.03,002703,2413
217,12,031,14.02,001402,2061
218,12,031,158.05,015805,5432
219,12,031,144.18,014418,1640
220,12,031,167.31,016731,5088
221,12,031,159.28,015928,2096
222,12,086,98.04,009804,2824
223,12,086,149,014900,6242
224,12,086,154,015400,5843
225,12,086,1.34,000134,3069
226,12,086,46.02,004602,3690
227,12,011,203.26,020326,6519
228,12,097,422.01,042201,7478
229,12,097,408.10,040810,3213
230,12,097,429.02,042902,4556
231,12,097,409.04,040904,5166
232,12,097,432.08,043208,11402
233,12,097,433.03,043303,7929
234,12,097,429.01,042901,6614
235,12,097,438.01,043801,6150
236,12,097,438.02,043802,3080
237,12,097,408.11,040811,5315
238,12,097,410.04,041004,6740
239,12,097,410.03,041003,8053
240,12,097,410.06,041006,8432
241,12,097,415.01,041501,6372
242,12,097,432.07,043207,10677
243,12,097,433.04,043304,5844
244,12,097,432.09,043209,1399
245,12,097,411.02,041102,11586
246,12,097,408.08,040808,7783
247,12,097,413.02,041302,8265
248,12,097,408.09,040809,2431
249,12,097,409.03,040903,4037
250,12,097,408.05,040805,1379
251,12,097,408.12,040812,3538
252,12,097,429.04,042904,6715
253,12,097,410.05,041005,2534
254,12,097,408.06,040806,1464
255,12,097,426.04,042604,6572
256,12,097,429.05,042905,2319
257,12,097,415.02,041502,10213
258,12,097,408.07,040807,4384
259,12,097,411.01,041101,9098
260,12,097,413.01,041301,9384
261,12,097,426.03,042603,9826
262,12,097,422.02,042202,3368
263,12,097,429.03,042903,3954
264,12,011,310.01,031001,2485
265,12,011,312.03,031203,1270
266,12,011,404.01,040401,2317
267,12,011,404.02,040402,2911
268,12,069,304.07,030407,2965
269,12,069,308.07,030807,3734
270,12,069,308.04,030804,1354
271,12,069,313.06,031306,8357
272,12,111,3820.08,382008,8495
273,12,111,3818.04,381804,7071
274,12,111,3820.07,382007,5582
275,12,099,77.36,007736,4067
276,12,099,77.43,007743,5454
277,12,099,77.39,007739,3302
278,12,099,77.40,007740,5934
279,12,099,77.41,007741,4371
280,12,099,77.49,007749,6223
281,12,099,78.05,007805,6363
282,12,095,178.12,017812,8435
283,12,095,167.50,016750,12132
284,12,095,167.56,016756,2914
285,12,095,150.05,015005,2821
286,12,095,169.11,016911,11028
287,12,095,167.53,016753,6450
288,12,095,150.06,015006,5829
289,12,095,171.22,017122,2667
290,12,095,164.14,016414,4193
291,12,095,170.25,017025,3756
292,12,095,178.11,017811,3348
293,12,095,165.14,016514,7825
294,12,095,165.15,016515,12267
295,12,095,178.13,017813,1359
296,12,095,124.05,012405,4978
297,12,095,188,018800,4591
298,12,095,169.08,016908,2133
299,12,095,178.14,017814,7267
300,12,095,124.04,012404,6041
301,12,095,168.14,016814,5755
302,12,095,168.13,016813,1256
303,12,095,169.10,016910,786
304,12,095,167.49,016749,6039
305,12,095,167.48,016748,7315
306,12,095,167.44,016744,4751
307,12,095,167.42,016742,4821
308,12,095,167.52,016752,4297
309,12,095,171.23,017123,3834
310,12,086,27.10,002710,1841
311,12,086,27.09,002709,3922
312,12,086,121.05,012105,2722
313,12,086,18.03,001803,3191
314,12,086,19.01,001901,5203
315,12,086,19.04,001904,4362
316,12,086,20.01,002001,4282
317,12,086,20.03,002003,3072
318,12,086,20.04,002004,3380
319,12,086,21,002100,2573
320,12,086,22.01,002201,3345
321,12,086,18.01,001801,5296
322,12,086,22.02,002202,6331
323,12,086,23,002300,5877
324,12,117,222.08,022208,4422
325,12,117,208.12,020812,4900
326,12,117,213.17,021317,9095
327,12,047,9601.03,960103,1295
328,12,047,9602.02,960202,3032
329,12,047,9602.01,960201,1717
330,12,047,9601.02,960102,3135
331,12,047,9601.01,960101,3513
332,12,117,213.21,021321,3162
333,12,071,19.10,001910,1480
334,12,071,9800,980000,0
335,12,071,803,080300,2756
336,12,071,403.01,040301,7045
337,12,099,9801,980100,0
338,12,099,19.09,001909,2967
339,12,011,905.03,090503,2607
340,12,011,906.02,090602,7984
341,12,011,908.02,090802,4879
342,12,011,917.02,091702,4916
343,12,011,918.02,091802,3506
344,12,011,919.01,091901,4410
345,12,011,204.14,020414,4387
346,12,109,213.01,021301,7990
347,12,109,9901,990100,0
348,12,086,170,017000,5345
349,12,011,307.05,030705,4253
350,12,011,311.01,031101,1943
351,12,011,418.01,041801,1856
352,12,001,18.15,001815,2045
353,12,001,2.01,000201,3748
354,12,121,9705.01,970501,2704
355,12,121,9705.02,970502,5595
356,12,121,9704.02,970402,4170
357,12,121,9706.01,970601,3502
358,12,121,9706.02,970602,3800
359,12,121,9703.04,970304,5015
360,12,121,9703.03,970303,2111
361,12,121,9704.01,970401,3772
362,12,011,407.02,040702,3716
363,12,011,433.02,043302,2085
364,12,011,510.01,051001,3949
365,12,125,9602.01,960201,1615
366,12,125,9602.02,960202,5968
367,12,011,606.06,060606,5196
368,12,069,313.08,031308,5859
369,12,115,15.10,001510,4137
370,12,115,20.15,002015,1747
371,12,115,21.01,002101,3459
372,12,115,27.27,002727,1529
373,12,115,20.12,002012,3352
374,12,115,20.14,002014,4859
375,12,115,15.08,001508,2748
376,12,115,20.11,002011,1244
377,12,115,20.13,002013,3570
378,12,115,15.11,001511,3064
379,12,115,27.45,002745,5223
380,12,115,15.09,001509,3345
381,12,115,27.31,002731,3197
382,12,115,27.48,002748,4097
383,12,115,12.06,001206,3388
384,12,111,3820.09,382009,5594
385,12,111,9800,980000,0
386,12,111,9900,990000,0
387,12,099,78.21,007821,2738
388,12,086,27.02,002702,3884
389,12,086,28,002800,1208
390,12,086,29,002900,6450
391,12,086,30.01,003001,3029
392,12,086,30.04,003004,5922
393,12,086,26,002600,7195
394,12,086,31,003100,5763
395,12,086,34,003400,2999
396,12,086,45,004500,3983
397,12,099,78.23,007823,4291
398,12,099,78.30,007830,3280
399,12,086,47.01,004701,5031
400,12,117,213.19,021319,1715
401,12,105,141.31,014131,3119
402,12,031,166.04,016604,4128
403,12,031,143.31,014331,5054
404,12,105,143.03,014303,3929
405,12,105,143.04,014304,2380
406,12,105,144.02,014402,1165
407,12,105,125.11,012511,5142
408,12,105,121.30,012130,2226
409,12,105,141.29,014129,2369
410,12,105,125.14,012514,6363
411,12,105,125.08,012508,3825
412,12,105,124.15,012415,3213
413,12,105,124.12,012412,8314
414,12,105,124.13,012413,8312
415,12,105,121.33,012133,4926
416,12,031,139.06,013906,4407
417,12,099,44.01,004401,4327
418,12,099,59.30,005930,4154
419,12,099,67,006700,2755
420,12,099,76.03,007603,2066
421,12,099,77.42,007742,4670
422,12,099,16,001600,3356
423,12,099,22,002200,2616
424,12,099,81.01,008101,7249
425,12,099,19.11,001911,1022
426,12,099,77.63,007763,8020
427,12,099,46.01,004601,4124
428,12,099,2.02,000202,6221
429,12,086,197,019700,3717
430,12,011,1001.04,100104,2901
431,12,011,1005.01,100501,1226
432,12,011,1005.02,100502,3908
433,12,086,190,019000,5942
434,12,086,191,019100,4914
435,12,011,423.01,042301,3891
436,12,011,423.02,042302,1237
437,12,011,430.02,043002,6980
438,12,011,503.09,050309,2669
439,12,129,102.07,010207,4629
440,12,129,102.08,010208,4895
441,12,129,102.04,010204,3959
442,12,129,102.05,010205,5568
443,12,129,101.02,010102,2907
444,12,129,102.09,010209,4776
445,12,129,102.06,010206,3776
446,12,129,101.01,010101,2345
447,12,011,606.09,060609,3579
448,12,011,608.01,060801,1557
449,12,011,703.19,070319,4195
450,12,009,713.54,071354,5675
451,12,009,624.02,062402,6530
452,12,009,624.01,062401,1841
453,12,009,631.09,063109,5459
454,12,009,621.13,062113,6109
455,12,009,621.12,062112,1271
456,12,009,621.10,062110,3568
457,12,009,650.24,065024,6934
458,12,009,713.51,071351,3201
459,12,009,713.52,071352,3983
460,12,009,713.42,071342,3591
461,12,009,713.41,071341,5142
462,12,009,713.45,071345,7243
463,12,009,650.23,065023,3711
464,12,009,712.05,071205,5898
465,12,009,601.05,060105,2640
466,12,009,699.05,069905,0
467,12,009,714.01,071401,1341
468,12,011,701.02,070102,1437
469,12,071,19.20,001920,3134
470,12,071,17.11,001711,2284
471,12,071,12.05,001205,2749
472,12,071,12.04,001204,2274
473,12,086,39.18,003918,2797
474,12,086,39.17,003917,5311
475,12,099,77.59,007759,1425
476,12,099,64.02,006402,4098
477,12,099,77.64,007764,1826
478,12,099,78.13,007813,7809
479,12,086,47.03,004703,5343
480,12,086,50.02,005002,5518
481,12,099,81.02,008102,0
482,12,099,82.01,008201,5303
483,12,099,82.02,008202,4125
484,12,099,82.03,008203,4702
485,12,099,4.08,000408,3333
486,12,099,9.04,000904,4357
487,12,099,17,001700,4581
488,12,035,602.18,060218,4905
489,12,035,602.16,060216,3981
490,12,035,602.15,060215,3805
491,12,035,602.19,060219,5465
492,12,035,602.17,060217,3757
493,12,035,602.20,060220,3005
494,12,099,19.16,001916,3243
495,12,099,19.17,001917,4749
496,12,099,20.05,002005,5011
497,12,031,159.24,015924,4908
498,12,081,3.04,000304,3142
499,12,031,172,017200,2320
500,12,031,104.02,010402,4669
501,12,031,127.04,012704,5556
502,12,031,134.03,013403,3357
503,12,099,2.04,000204,4225
504,12,081,3.05,000305,6748
505,12,081,20.10,002010,3923
506,12,081,14.02,001402,1619
507,12,081,1.01,000101,1556
508,12,081,4.03,000403,1688
509,12,086,102.01,010201,3951
510,12,099,2.10,000210,7204
511,12,099,2.11,000211,3915
512,12,099,7.02,000702,3347
513,12,099,9.02,000902,2983
514,12,099,9.03,000903,5885
515,12,011,1103.28,110328,5924
516,12,011,1103.27,110327,5658
517,12,011,1103.30,110330,3754
518,12,081,1.03,000103,4078
519,12,011,1103.32,110332,5541
520,12,011,505.01,050501,3394
521,12,011,505.02,050502,5096
522,12,011,601.24,060124,5375
523,12,011,601.28,060128,6355
524,12,011,601.25,060125,2079
525,12,081,4.06,000406,4411
526,12,081,4.07,000407,4642
527,12,081,17.01,001701,1491
528,12,081,4.05,000405,3475
529,12,081,5.03,000503,4405
530,12,081,5.04,000504,3461
531,12,011,601.26,060126,5403
532,12,081,5.01,000501,3058
533,12,086,39.06,003906,3144
534,12,011,917.01,091701,4485
535,12,011,1002.01,100201,1824
536,12,011,9900,990000,0
537,12,011,104.07,010407,5362
538,12,011,201.04,020104,3135
539,12,086,40,004000,4998
540,12,086,56,005600,4954
541,12,086,57.01,005701,7616
542,12,061,507.02,050702,5306
543,12,061,506.03,050603,5796
544,12,099,78.14,007814,2458
545,12,099,59.44,005944,2663
546,12,099,78.20,007820,2925
547,12,099,59.43,005943,2325
548,12,099,59.42,005942,2849
549,12,099,72.06,007206,2562
550,12,099,72.07,007207,2293
551,12,099,59.61,005961,2774
552,12,099,78.31,007831,3217
553,12,099,78.32,007832,2852
554,12,099,78.44,007844,4432
555,12,099,79.19,007919,5815
556,12,099,77.67,007767,3979
557,12,009,651.30,065130,3485
558,12,009,651.26,065126,3075
559,12,099,78.33,007833,6170
560,12,099,78.34,007834,1368
561,12,099,19.13,001913,2439
562,12,099,36,003600,5307
563,12,099,58.15,005815,5138
564,12,099,70.10,007010,2025
565,12,099,1.02,000102,2956
566,12,099,2.08,000208,4736
567,12,099,2.13,000213,2797
568,12,086,10.03,001003,6124
569,12,086,52.02,005202,6346
570,12,081,12.04,001204,6210
571,12,081,13,001300,4481
572,12,103,272.12,027212,3124
573,12,103,271.08,027108,2457
574,12,081,8.05,000805,6908
575,12,095,178.10,017810,4875
576,12,095,167.35,016735,9446
577,12,095,171.13,017113,13867
578,12,095,174.01,017401,6825
579,12,095,175.05,017505,4334
580,12,095,175.06,017506,11902
581,12,095,166.03,016603,8317
582,12,095,182.04,018204,1661
583,12,095,165.12,016512,4260
584,12,095,167.38,016738,4505
585,12,095,167.45,016745,4869
586,12,095,147.06,014706,4969
587,12,095,147.05,014705,8711
588,12,095,167.39,016739,5204
589,12,095,152.04,015204,5824
590,12,095,190,019000,3814
591,12,095,135.13,013513,4491
592,12,095,168.12,016812,6127
593,12,095,168.10,016810,8845
594,12,095,168.09,016809,8500
595,12,095,170.23,017023,1107
596,12,095,167.47,016747,4938
597,12,095,174.02,017402,5429
598,12,095,171.20,017120,6429
599,12,095,170.19,017019,5465
600,12,095,171.15,017115,3525
601,12,095,171.12,017112,17182
602,12,095,182.01,018201,4369
603,12,095,171.16,017116,6343
604,12,095,171.18,017118,5555
605,12,081,9.01,000901,6160
606,12,081,9.02,000902,5953
607,12,081,7.03,000703,3664
608,12,081,6.01,000601,3135
609,12,081,8.04,000804,3476
610,12,086,84.15,008415,4883
611,12,086,85.02,008502,4435
612,12,086,86.01,008601,5208
613,12,087,9720,972000,3823
614,12,087,9710.02,971002,1494
615,12,095,137.02,013702,5557
616,12,095,183,018300,2455
617,12,095,165.11,016511,4405
618,12,009,651.27,065127,3828
619,12,009,713.50,071350,4556
620,12,009,712.02,071202,1634
621,12,009,713.44,071344,4687
622,12,009,712.03,071203,3202
623,12,009,652.40,065240,2111
624,12,009,652.37,065237,3139
625,12,009,647.01,064701,2638
626,12,009,602.01,060201,2546
627,12,009,631.08,063108,5392
628,12,009,712.01,071201,7360
629,12,009,621.15,062115,2192
630,12,009,713.49,071349,4787
631,12,009,686.03,068603,2118
632,12,009,621.14,062114,1814
633,12,009,686.04,068604,2131
634,12,009,601.06,060106,1527
635,12,009,713.48,071348,8121
636,12,009,712.04,071204,122
637,12,081,12.02,001202,4090
638,12,081,12.03,001203,4175
639,12,095,171.08,017108,9760
640,12,095,167.33,016733,6155
641,12,095,172,017200,4459
642,12,009,642.01,064201,2329
643,12,009,612.02,061202,3313
644,12,009,610.01,061001,5420
645,12,009,610.02,061002,3270
646,12,045,9601.01,960101,2739
647,12,045,9601.02,960102,3641
648,12,045,9603.02,960302,3470
649,12,045,9603.01,960301,1680
650,12,073,18.04,001804,5247
651,12,073,25.17,002517,3174
652,12,073,25.16,002516,3445
653,12,073,21.05,002105,4018
654,12,073,21.06,002106,3999
655,12,073,9.06,000906,2879
656,12,073,9.07,000907,4896
657,12,073,20.08,002008,2915
658,12,073,17.02,001702,4907
659,12,073,17.01,001701,2456
660,12,073,25.14,002514,3283
661,12,009,621.09,062109,4502
662,12,095,132.01,013201,4480
663,12,095,136.06,013606,4266
664,12,095,169.07,016907,6792
665,12,095,180,018000,3291
666,12,095,137.01,013701,5094
667,12,009,9900,990000,0
668,12,086,59.02,005902,3838
669,12,095,132.02,013202,6812
670,12,009,621.08,062108,7667
671,12,009,623.01,062301,3532
672,12,009,631.05,063105,9741
673,12,009,713.37,071337,7980
674,12,086,90.10,009010,6615
675,12,095,134.06,013406,3684
676,12,095,135.10,013510,2327
677,12,095,135.12,013512,5231
678,12,009,621.06,062106,3017
679,12,009,631.06,063106,5546
680,12,009,641.26,064126,3917
681,12,009,641.24,064124,4735
682,12,095,146.08,014608,4794
683,12,095,146.09,014609,5915
684,12,095,149.08,014908,8194
685,12,095,149.09,014909,3886
686,12,009,651.24,065124,2359
687,12,086,39.11,003911,4842
688,12,086,1.27,000127,2844
689,12,086,102.07,010207,3981
690,12,086,59.03,005903,6276
691,12,086,60.02,006002,6358
692,12,115,12.05,001205,4605
693,12,009,713.39,071339,7661
694,12,095,165.10,016510,4070
695,12,095,167.23,016723,5371
696,12,095,167.24,016724,6242
697,12,086,63.02,006302,5914
698,12,086,64.01,006401,3738
699,12,086,64.03,006403,3542
700,12,095,169.06,016906,2922
701,12,009,646.02,064602,2298
702,12,009,681.01,068101,3207
703,12,009,685.02,068502,2358
704,12,009,647.02,064702,1553
705,12,009,713.47,071347,6271
706,12,009,650.25,065025,1771
707,12,009,699.06,069906,1851
708,12,009,601.03,060103,2397
709,12,009,699.03,069903,2528
710,12,009,713.53,071353,2888
711,12,009,713.43,071343,5672
712,12,009,716.02,071602,2230
713,12,009,621.11,062111,3303
714,12,086,90.14,009014,4248
715,12,086,90.15,009015,5578
716,12,086,92,009200,3590
717,12,086,93.05,009305,5415
718,12,009,641.23,064123,6836
719,12,095,170.12,017012,2692
720,12,095,170.15,017015,6514
721,12,095,134.05,013405,2844
722,12,095,136.07,013607,4905
723,12,009,713.35,071335,4664
724,12,011,408.02,040802,4841
725,12,011,409.01,040901,5478
726,12,009,607,060700,2542
727,12,009,666,066600,4303
728,12,009,715,071500,2537
729,12,095,9900,990000,0
730,12,009,661.03,066103,2751
731,12,086,104,010400,4760
732,12,086,106.04,010604,4462
733,12,095,167.43,016743,7287
734,12,095,171.19,017119,2921
735,12,095,173.02,017302,8000
736,12,095,170.22,017022,7813
737,12,095,142.02,014202,4858
738,12,095,142.01,014201,5852
739,12,095,170.18,017018,5144
740,12,095,166.07,016607,6240
741,12,095,166.04,016604,4218
742,12,095,167.46,016746,5665
743,12,095,165.13,016513,4173
744,12,095,166.05,016605,974
745,12,095,167.40,016740,4160
746,12,095,170.24,017024,1595
747,12,095,168.11,016811,10212
748,12,095,102.02,010202,3453
749,12,095,189.01,018901,3225
750,12,095,182.02,018202,4036
751,12,095,170.21,017021,5319
752,12,095,168.08,016808,3801
753,12,095,167.41,016741,3109
754,12,115,23.02,002302,4434
755,12,063,2103.01,210301,4034
756,12,063,2103.02,210302,2341
757,12,063,2109.02,210902,4719
758,12,053,416.02,041602,2185
759,12,063,2109.01,210901,1798
760,12,053,416.01,041601,3398
761,12,053,409.12,040912,3003
762,12,053,409.13,040913,3320
763,12,055,9616.04,961604,2262
764,12,055,9617.02,961702,1473
765,12,055,9601.05,960105,1918
766,12,055,9617.01,961701,2992
767,12,055,9604.01,960401,4132
768,12,055,9613.03,961303,1139
769,12,055,9613.04,961304,2985
770,12,055,9604.02,960402,4020
771,12,055,9612.01,961201,3268
772,12,055,9612.02,961202,2915
773,12,055,9605.03,960503,4872
774,12,055,9616.05,961605,4420
775,12,055,9605.04,960504,3271
776,12,055,9614.02,961402,2683
777,12,055,9601.04,960104,3455
778,12,055,9614.01,961401,3367
779,12,061,506.01,050601,2434
780,12,061,506.04,050604,1599
781,12,061,506.05,050605,1778
782,12,115,27.14,002714,6655
783,12,115,23.05,002305,1474
784,12,086,17.01,001701,4540
785,12,086,41.02,004102,2539
786,12,115,22.01,002201,2569
787,12,086,72,007200,2667
788,12,086,75.01,007501,2669
789,12,086,9803,980300,4653
790,12,086,76.01,007601,2683
791,12,081,9900,990000,0
792,12,085,9900,990000,0
793,12,045,9900,990000,0
794,12,009,9801,980100,0
795,12,086,97.03,009703,3001
796,12,086,88.06,008806,4856
797,12,086,9807,980700,725
798,12,011,110,011000,1964
799,12,011,410,041000,3252
800,12,011,411,041100,5200
801,12,011,412,041200,4958
802,12,011,413,041300,8900
803,12,086,109,010900,6546
804,12,086,76.03,007603,3806
805,12,086,38.01,003801,5866
806,12,011,202.05,020205,6267
807,12,086,13.02,001302,5377
808,12,086,143,014300,3358
809,12,086,141,014100,2857
810,12,086,7.05,000705,4944
811,12,086,89.04,008904,2713
812,12,086,18.02,001802,4110
813,12,086,37.03,003703,2514
814,12,086,13.01,001301,5386
815,12,011,414,041400,3869
816,12,011,415,041500,4184
817,12,043,2.01,000201,3926
818,12,043,2.02,000202,3893
819,12,011,417,041700,4609
820,12,086,19.03,001903,3312
821,12,086,4.08,000408,5627
822,12,086,80,008000,5772
823,12,086,148,014800,6430
824,12,011,203.02,020302,8424
825,12,011,203.08,020308,6274
826,12,011,203.09,020309,6495
827,12,011,203.11,020311,3300
828,12,011,203.12,020312,4991
829,12,011,424,042400,1412
830,12,011,420,042000,2683
831,12,011,421,042100,1860
832,12,086,99.03,009903,5590
833,12,086,99.04,009904,3499
834,12,011,203.13,020313,6077
835,12,011,203.14,020314,5804
836,12,011,203.15,020315,5424
837,12,011,203.16,020316,3938
838,12,011,203.17,020317,3423
839,12,011,203.18,020318,9444
840,12,077,9502.01,950201,3575
841,12,077,9502.02,950202,1446
842,12,077,9800,980000,1276
843,12,085,17.01,001701,4052
844,12,085,11.08,001108,5032
845,12,085,11.07,001107,2124
846,12,085,18.06,001806,2125
847,12,085,17.02,001702,1993
848,12,085,17.03,001703,5600
849,12,085,18.04,001804,4771
850,12,085,18.05,001805,1080
851,12,085,18.03,001803,2521
852,12,085,11.05,001105,3376
853,12,085,7.02,000702,2050
854,12,085,11.06,001106,5811
855,12,085,7.01,000701,1339
856,12,011,203.19,020319,5854
857,12,011,203.20,020320,5151
858,12,011,203.21,020321,2244
859,12,011,203.22,020322,3980
860,12,011,204.04,020404,9261
861,12,011,204.06,020406,6372
862,12,115,9900,990000,0
863,12,065,2502,250200,4573
864,12,081,20.05,002005,5612
865,12,073,25.15,002515,6697
866,12,073,24.23,002423,4578
867,12,073,24.21,002421,4698
868,12,073,24.22,002422,3456
869,12,073,24.18,002418,4633
870,12,073,24.19,002419,4446
871,12,073,24.20,002420,3224
872,12,073,5.02,000502,2193
873,12,073,5.01,000501,503
874,12,073,20.07,002007,4089
875,12,073,18.03,001803,236
