Rank,Name,Store ID,Total Visits,lat,lng,State,Address
23,Marshalls,1202.0,453903,27.79620131,-82.33245096,FL,"13120 US Highway 301 S, Ste 101, Riverview, FL, United States"
24,Marshalls,264.0,436709,27.39169372,-82.45327833,FL,"8467 Cooper Creek Blvd, University Park, FL, United States"
25,Marshalls,464.0,435297,28.17546464,-82.35555788,FL,"1321 Bruce B Downs Road, Wesley Chapel, FL, United States"
26,Marshalls,1019.0,429195,27.49891405,-81.485903,FL,"1724 US Highway 27 N, Sebring, FL, United States"
27,Marshalls,805.0,427271,30.44015803,-84.25826912,FL,"1564 Governor'S Square Blvd, Tallahassee, FL, United States"
28,Marshalls,392.0,424338,25.80987875,-80.19355365,FL,"3401 North Miami Avenue, Miami, Florida, United States"
29,Marshalls,1003.0,423864,26.48581527,-81.78940397,FL,"10017 Gulf Center Dr, Fort Myers, FL, United States"
30,Marshalls,1042.0,417388,28.05040396,-82.69797409,FL,"Tampa Road, Florida, United States"
31,Marshalls,167.0,415341,26.21278703,-80.10717035,FL,"1401 S Federal Highway, Pompano Beach, FL, United States"
32,Marshalls,816.0,414816,25.48042614,-80.46169303,FL,"1099 N Homestead Blvd, Homestead, FL, United States"
33,Marshalls,509.0,406771,30.38944671,-86.43912186,FL,"4477 Commons Dr W, Destin, FL, United States"
34,Marshalls,176.0,406080,26.17261584,-81.80103344,FL,"2115 Tamiami Trl N, Naples, FL, United States"
35,Marshalls,350.0,403317,27.23554687,-80.26661916,FL,"2475 NW Federal Highway, Jensen Beach, FL, United States"
36,Marshalls,325.0,396312,26.31571519,-80.15697515,FL,"3852 W Hillsboro Blvd, Deerfield Beach, FL, United States"
37,Marshalls,653.0,395690,26.84377179,-80.0737879,FL,"2550 PGA Blvd, Palm Beach Gardens, FL, United States"
38,Marshalls,1471.0,394080,29.13878799,-82.19278881,FL,"4414 SW College Rd S810, Ocala, FL, United States"
39,Marshalls,168.0,393505,26.58642025,-81.86958965,FL,"4995 S Cleveland Ave, Fort Myers, FL, United States"
40,Marshalls,511.0,392484,28.49535372,-81.43035435,FL,"4648 Millenia Plaza Way, Orlando, FL, United States"
41,Marshalls,745.0,376088,27.01499547,-82.14422047,FL,"18700 Veterans Blvd, Port Charlotte, FL, United States"
42,Marshalls,232.0,375449,28.03888338,-80.66485967,FL,"205 Palm Bay Rd NE, West Melbourne, FL, United States"
43,Marshalls,796.0,374136,26.27086874,-81.79847013,FL,"Immokalee Road, Vanderbilt Beach, Florida, United States"
44,Marshalls,473.0,367379,26.36594881,-80.1735641,FL,"8180 Glades Rd, Boca Raton, FL, United States"
45,Marshalls,541.0,363170,26.04343239,-80.15896058,FL,"3701 Oakwood Blvd, Hollywood, FL, United States"
46,Marshalls,340.0,360793,26.52946565,-80.09281893,FL,"363 N Congress Ave Bay 103, Boynton Beach, FL, United States"
47,Marshalls,1132.0,360382,30.48249025,-81.6407356,FL,"14964 Max Leggett Pkwy, Ste 200, Jacksonville, FL, United States"
48,Marshalls,1169.0,358726,26.28817959,-80.24929148,FL,"Wiles Road, Florida, United States"
49,Marshalls,1059.0,358512,28.67530247,-81.4710751,FL,"2175 E Semoran Blvd, Apopka, FL, United States"
50,Marshalls,1428.0,356655,28.39222915,-81.48445473,FL,"Lake Street, Florida, United States"
51,Marshalls,1463.0,356560,28.22398965,-81.64276718,FL,"357 Royals Way, Florida, United States"
52,Marshalls,108.0,350911,27.26052384,-82.51795607,FL,"6589 South Tamiami Trail, Sarasota, FL, United States"
53,Marshalls,813.0,341760,30.17570908,-81.62667292,FL,"10991-2 San Jose Ap, Jacksonville, Florida, United States"
54,Marshalls,1198.0,339297,28.47550606,-81.28715209,FL,"Market Place Drive, Orlando, Florida, United States"
55,Marshalls,145.0,335509,25.62066372,-80.34234868,FL,"16051 S Dixie Hwy, Ste B, Miami, FL, United States"
56,Marshalls,1020.0,335028,28.55145091,-80.84290999,FL,"Windover Trls, Titusville, Florida, United States"
57,Marshalls,196.0,332075,26.44065508,-80.07277198,FL,"1700 S Federal Hwy, Delray Beach, FL, United States"
58,Marshalls,388.0,331600,27.90785906,-82.50472481,FL,"3802B S Dale Mabry Hwy, Tampa, FL, United States"
59,Marshalls,1258.0,330807,27.98832505,-82.1249478,FL,"237 W Alexander St, Plant City, FL, United States"
60,Marshalls,207.0,323604,25.98142858,-80.35797757,FL,"3021 SW 160th Ave, Miramar, FL, United States"
61,Marshalls,153.0,320817,28.79847527,-81.3341345,FL,"1551 WP Ball Blvd, Sanford, FL, United States"
62,Marshalls,867.0,315075,27.96626249,-82.72824974,FL,"21323 US Highway 19 N, Clearwater, FL, United States"
63,Marshalls,399.0,309341,26.01274602,-80.25153526,FL,"500 N University Dr, Pembroke Pines, FL, United States"
64,Marshalls,1181.0,305582,27.46365197,-82.63403533,FL,"7224 Cortez Rd W, Bradenton, FL, United States"
65,Marshalls,398.0,302981,26.6160286,-80.14417633,FL,"6452 Lake Worth Rd, Greenacres, FL, United States"
66,Marshalls,67.0,287427,28.66364034,-81.38252103,FL,"293 E Altamonte Dr, Altamonte Springs, FL, United States"
67,Marshalls,1364.0,285714,28.26592456,-81.3308053,FL,"1456 Simmons Road, Florida, United States"
68,Marshalls,1197.0,283748,25.8314203,-80.25975734,FL,"901 E 10th Ave, Hialeah, FL, United States"
69,Marshalls,252.0,279016,27.83623061,-82.68780706,FL,"70th Avenue North, Florida, United States"
70,Marshalls,1192.0,277451,30.48203772,-87.20826445,FL,"1650 Airport Blvd, Pensacola, FL, United States"
71,Marshalls,1135.0,268583,30.31105405,-81.73429752,FL,"918 Garth Avenue, Jacksonville, Florida, United States"
72,Marshalls,1256.0,268041,28.19081911,-82.45722617,FL,"21705 Village Lks, Land O' Lakes, FL, United States"
73,Marshalls,866.0,266804,26.23680797,-80.20107708,FL,"5461 W Atlantic Blvd, Margate, FL, United States"
74,Marshalls,228.0,264460,29.26168687,-81.02659535,FL,"2461 N Atlantic Ave, Daytona Beach, FL, United States"
75,Marshalls,1315.0,242889,26.06015291,-81.69784683,FL,"13100 Tamiami Trl E, Naples, FL, United States"
76,Marshalls,124.0,242170,28.33256231,-81.47381297,FL,"4795 W Irlo Bronson Memorial Hwy, Kissimmee, FL, United States"
77,Marshalls,678.0,236513,28.54893327,-81.34961019,FL,"2642 E Colonial Dr, Orlando, FL, United States"
78,Marshalls,419.0,235265,28.55435066,-81.47929418,FL,"7323 W Colonial Dr, Orlando, FL, United States"
79,Marshalls,1386.0,233046,25.93840204,-80.2473497,FL,"17966 NW 27th Ave, Miami Gardens, FL, United States"
80,Marshalls,1163.0,223103,26.18834769,-80.20689326,FL,"4197 W Commercial Blvd, Tamarac, FL, United States"
81,Marshalls,,211309,30.14840093,-81.75340135,FL,"661 Blanding Blvd Ste 401, Orange Park, FL, United States"
82,Marshalls,211.0,201749,27.78893025,-82.73017403,FL,"2036 66th St N, Saint Petersburg, FL, United States"
83,Marshalls,1455.0,188704,26.11916123,-80.17708116,FL,"2660 W Broward Blvd, Fort Lauderdale, FL, United States"
84,Marshalls,356.0,175715,25.77398514,-80.32171357,FL,"marshall/homegoods, Miami, FL, United States"
85,Marshalls,1495.0,150855,28.65364973,-81.20987675,FL,"1121 Alafaya Trail, Oviedo, FL, United States"
86,Marshalls,1396.0,127309,27.07493951,-82.42337358,FL,"1679 US 41 Bypass South, Venice, FL, United States"
87,Marshalls,333.0,114594,27.89163011,-82.78264183,FL,"10500 Ulmerton Rd, Largo, FL, United States"
1,Marshalls,247,667805,35.90036903,-84.16504292,TN,"11455 Parkside Dr, Knoxville, TN, United States"
2,Marshalls,1281,603255,36.59428253,-82.26120263,TN,"454 Pinnacle Pkwy, Bristol, TN, United States"
3,Marshalls,856,561367,36.00560161,-84.02129132,TN,"Clinton Highway, Knoxville, Tennessee, United States"
4,Marshalls,1262,498539,36.06464859,-87.38214268,TN,"202 Thorton Dr, Dickson, TN, United States"
5,Marshalls,1476,482572,35.7947587,-83.55793115,TN,"3062 Teaster Ln, Pigeon Forge, TN, United States"
6,Marshalls,477,429958,35.66831885,-88.86081176,TN,"1081 Vann Dr, Ste 108, Jackson, TN, United States"
7,Marshalls,592,425903,35.06692717,-89.75868571,TN,"9125 Poplar Ave, Germantown, TN, United States"
8,Marshalls,394,404148,35.03060566,-85.1603834,TN,"2040 Hamilton Place Blvd, Ste 300, Chattanooga, TN, United States"
9,Marshalls,1462,380377,36.50635176,-87.27211958,TN,"2300 Madison St, Clarksville, TN, United States"
10,Marshalls,747,376821,35.1717264,-89.79537508,TN,"1697 N Germantown Pkwy, Cordova, TN, United States"
11,Marshalls,395,357338,36.18078371,-86.63873721,TN,"3135 Lebanon Pike, Ste 106, Nashville, TN, United States"
12,Marshalls,1487,346149,36.058481,-89.38297864,TN,"384 US-51, Dyersburg, TN, United States"
13,Marshalls,491,345718,35.85514928,-86.42752802,TN,"490 N Thompson Ln, Murfreesboro, TN, United States"
14,Marshalls,1138,340179,35.05252409,-89.80833985,TN,"Cordova, TN, United States"
15,Marshalls,815,319111,35.15531384,-85.2457901,TN,"5756 TN-153, Hixson, TN, United States"
16,Marshalls,594,294725,35.9487633,-86.8177021,TN,"2000 Mallory Ln # 500, Franklin, TN, United States"
17,Marshalls,150,274228,35.20774682,-89.89610965,TN,"3001 Covington Pike, Memphis, TN, United States"
18,Marshalls,1005,256613,36.13668573,-86.89025267,TN,"6806 Charlotte Pike, Nashville, TN, United States"
19,Marshalls,1456,247037,36.17549394,-82.79590644,TN,"1355 Tusculum Blvd, Greeneville, TN, United States"
20,Marshalls,1021,241529,36.03737298,-83.8873844,TN,"New Harvest Lane, Knoxville, Tennessee, United States"
21,Marshalls,1314,199711,36.32191681,-86.6014702,TN,"Hendersonville, Tennessee, United States"
